jd_id,title,category,min_experience,required_skills,jd_text
J0000,Full Stack Developer,Web Development,1,"[""Express.js"", ""JavaScript"", ""REST API"", ""React"", ""TypeScript"", ""Node.js"", ""CSS""]","Full Stack Developer at Meridian Softworks

We are looking for a Full Stack Developer to join our Web Development team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Express.js, JavaScript, REST API, React, TypeScript, Node.js, CSS

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0001,Data Scientist,Data Science,1,"[""Statistics"", ""Deep Learning"", ""NumPy"", ""Data Visualization"", ""PyTorch"", ""SQL"", ""Scikit-learn"", ""Natural Language Processing""]","Data Scientist at BluePeak Solutions

We are looking for a Data Scientist to join our Data Science team. The ideal candidate has at least 1 years of relevant experience.

Required Skills: Statistics, Deep Learning, NumPy, Data Visualization, PyTorch, SQL, Scikit-learn, Natural Language Processing

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0002,Data Analyst,Data Science,2,"[""Pandas"", ""Machine Learning"", ""Data Visualization"", ""NumPy"", ""PyTorch"", ""SQL"", ""Natural Language Processing""]","Data Analyst at Harborline Financial

We are looking for a Data Analyst to join our Data Science team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Pandas, Machine Learning, Data Visualization, NumPy, PyTorch, SQL, Natural Language Processing

Responsibilities include applying the above skills to real-world data science problems and collaborating with cross-functional teams."
J0003,Financial Analyst,Finance,3,"[""Auditing"", ""QuickBooks"", ""Financial Modeling"", ""Accounting"", ""Risk Management"", ""Forecasting"", ""Budgeting"", ""Excel""]","Financial Analyst at Falconbyte

We are looking for a Financial Analyst to join our Finance team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Auditing, QuickBooks, Financial Modeling, Accounting, Risk Management, Forecasting, Budgeting, Excel

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0004,Full Stack Developer,Web Development,3,"[""REST API"", ""CSS"", ""Next.js"", ""JavaScript"", ""TypeScript"", ""Express.js""]","Full Stack Developer at Trailhead Digital

We are looking for a Full Stack Developer to join our Web Development team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: REST API, CSS, Next.js, JavaScript, TypeScript, Express.js

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0005,Accounts Executive,Finance,0,"[""Excel"", ""SAP"", ""Forecasting"", ""Accounting"", ""Risk Management"", ""Auditing"", ""QuickBooks""]","Accounts Executive at Falconbyte

We are looking for a Accounts Executive to join our Finance team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Excel, SAP, Forecasting, Accounting, Risk Management, Auditing, QuickBooks

Responsibilities include applying the above skills to real-world finance problems and collaborating with cross-functional teams."
J0006,Backend Developer,Web Development,3,"[""Next.js"", ""TypeScript"", ""REST API"", ""HTML"", ""JavaScript"", ""Node.js""]","Backend Developer at Sundial HR Group

We are looking for a Backend Developer to join our Web Development team. The ideal candidate has at least 3 years of relevant experience.

Required Skills: Next.js, TypeScript, REST API, HTML, JavaScript, Node.js

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0007,Full Stack Developer,Web Development,5,"[""Express.js"", ""Node.js"", ""REST API"", ""CSS"", ""JavaScript"", ""TypeScript"", ""HTML"", ""MongoDB""]","Full Stack Developer at Verdant Analytics

We are looking for a Full Stack Developer to join our Web Development team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Express.js, Node.js, REST API, CSS, JavaScript, TypeScript, HTML, MongoDB

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
J0008,Cloud Infrastructure Engineer,DevOps,2,"[""AWS"", ""Linux"", ""Azure"", ""GCP"", ""Kubernetes"", ""CI/CD""]","Cloud Infrastructure Engineer at Corestack Labs

We are looking for a Cloud Infrastructure Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: AWS, Linux, Azure, GCP, Kubernetes, CI/CD

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0009,Site Reliability Engineer,DevOps,2,"[""Terraform"", ""Azure"", ""Linux"", ""Kubernetes"", ""CI/CD""]","Site Reliability Engineer at Falconbyte

We are looking for a Site Reliability Engineer to join our DevOps team. The ideal candidate has at least 2 years of relevant experience.

Required Skills: Terraform, Azure, Linux, Kubernetes, CI/CD

Responsibilities include applying the above skills to real-world devops problems and collaborating with cross-functional teams."
J0010,HR Business Partner,Human Resources,0,"[""Employee Relations"", ""Payroll"", ""Labor Law"", ""Recruitment"", ""Talent Acquisition"", ""Onboarding""]","HR Business Partner at Orbitline Technologies

We are looking for a HR Business Partner to join our Human Resources team. The ideal candidate has at least 0 years of relevant experience.

Required Skills: Employee Relations, Payroll, Labor Law, Recruitment, Talent Acquisition, Onboarding

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0011,HR Executive,Human Resources,5,"[""Performance Management"", ""Payroll"", ""Onboarding"", ""Recruitment"", ""Talent Acquisition"", ""HRIS"", ""Employee Relations"", ""Labor Law""]","HR Executive at Quantwave Inc

We are looking for a HR Executive to join our Human Resources team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Performance Management, Payroll, Onboarding, Recruitment, Talent Acquisition, HRIS, Employee Relations, Labor Law

Responsibilities include applying the above skills to real-world human resources problems and collaborating with cross-functional teams."
J0012,Backend Developer,Web Development,5,"[""Next.js"", ""MongoDB"", ""React"", ""Node.js"", ""JavaScript"", ""CSS""]","Backend Developer at Meridian Softworks

We are looking for a Backend Developer to join our Web Development team. The ideal candidate has at least 5 years of relevant experience.

Required Skills: Next.js, MongoDB, React, Node.js, JavaScript, CSS

Responsibilities include applying the above skills to real-world web development problems and collaborating with cross-functional teams."
